Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
J Mees (LUX),2019-2021,12,11,3,241,67*,30.12,193,124.87,0,1,1,27,5,
MA Leask (SCOT),2013-2019,31,22,2,240,58,12.00,199,120.60,0,1,2,16,12,
SW Poynter (IRE),2015-2019,25,21,6,240,39,16.00,213,112.67,0,0,0,22,6,
Ashfaq Ahmed (UAE),2018-2019,12,12,0,238,75,19.83,185,128.64,0,3,2,32,6,
J Butler (GUE),2019-2020,10,9,2,238,65*,34.00,241,98.75,0,1,0,25,1,
SD Hope (WI),2017-2019,13,11,0,238,55,21.63,175,136.00,0,2,1,24,10,
J Mubarak (SL),2007-2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8,
K Dasan (BUL),2019-2020,10,9,1,237,74,29.62,222,106.75,0,1,0,19,4,
Khalid Latif (PAK),2008-2016,13,13,2,237,59*,21.54,229,103.49,0,1,1,25,6,
RE Levi (SA),2012-2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15,
YK Pathan (INDIA),2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17,
F Damiao Couana (Moz),2019-2019,7,7,1,233,71*,38.83,179,130.16,0,1,0,16,14,
ES Szwarczynski (NL),2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2,
JF Mooney (IRE),2009-2015,27,23,9,231,31*,16.50,214,107.94,0,0,0,25,1,
AR Cusack (IRE),2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6,
Aftab Ahmed (BDESH),2006-2010,11,11,1,228,62*,22.80,178,128.08,0,1,0,26,6,
Karan KC (NEPAL),2015-2021,33,20,5,228,45,15.20,150,152.00,0,0,2,9,20,
T Mishra (KENYA),2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4,
C Bisson (JER),2019-2019,14,14,2,226,54,18.83,177,127.68,0,1,3,24,5,
DAS Gunaratne (SL),2016-2017,12,12,3,225,84*,25.00,178,126.40,0,2,2,19,6,
Inam-ul-Haq (QAT),2019-2019,11,11,2,225,73*,25.00,205,109.75,0,1,1,28,2,
MN van Wyk (SA),2007-2015,8,7,1,225,114*,37.50,157,143.31,1,1,0,19,14,
CAK Walton (WI),2014-2018,19,17,0,225,40,13.23,203,110.83,0,0,5,23,11,
DG Blampied (JER),2019-2019,17,15,6,221,43*,24.55,222,99.54,0,0,1,14,0,
BFW de Leede (NL),2018-2021,13,11,2,221,81*,24.55,210,105.23,0,1,1,14,9,
Shadab Khan (PAK),2017-2021,51,21,7,221,42,15.78,174,127.01,0,0,3,13,12,
Sompal Kami (NEPAL),2014-2021,33,21,7,221,40,15.78,192,115.10,0,0,1,17,8,
H Patel (CAN),2010-2013,11,11,1,220,88*,22.00,218,100.91,0,1,2,19,2,
AD Poynter (IRE),2012-2016,19,14,3,219,57,19.90,184,119.02,0,1,1,21,8,
Tanwir Afzal (HKG),2014-2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15,
RA Jadeja (INDIA),2009-2020,50,24,10,217,44*,15.50,193,112.43,0,0,2,12,6,
Simi Singh (IRE),2018-2021,27,26,4,217,57*,9.86,195,111.28,0,1,6,13,7,
TT Bresnan (ENG),2006-2014,34,22,9,216,47*,16.61,170,127.05,0,0,3,16,6,
Khurram Nawaz (OMAN),2017-2020,19,14,3,216,58,19.63,185,116.75,0,1,0,12,10,
DO Obuya (KENYA),2007-2012,10,10,2,216,65*,27.00,228,94.73,0,2,1,22,4,
MJG Rippon (NL),2013-2018,18,11,4,216,42,30.85,192,112.50,0,0,2,15,3,
KMDN Kulasekara (SL),2008-2017,58,30,9,215,31,10.23,184,116.84,0,0,4,14,7,
SS McKechnie (HKG),2019-2020,19,17,7,215,44,21.50,223,96.41,0,0,2,14,2,
Mohamed Arief (MAL),2019-2020,12,11,2,215,52*,23.88,171,125.73,0,1,0,23,5,
EMDY Munaweera (SL),2012-2017,13,13,1,215,53,17.91,164,131.09,0,1,1,25,7,
B Ward (JER),2019-2019,13,12,3,215,58*,23.88,160,134.37,0,1,1,8,15,
LA Dunbar (SRB),2019-2021,6,6,2,214,104*,53.50,127,168.50,1,1,2,15,19,
PD Hennessy (ESP),2019-2020,10,8,1,214,71,30.57,177,120.90,0,2,1,13,9,
S Prasanna (SL),2013-2017,20,20,6,214,37*,15.28,161,132.91,0,0,0,13,13,
RG Aga (KENYA),2008-2013,20,18,2,213,52*,13.31,196,108.67,0,1,0,15,5,
Iftikhar Ahmed (PAK),2016-2021,13,11,6,212,62*,42.40,162,130.86,0,1,0,19,5,
Anwar Arudin (MAL),2019-2021,21,21,0,211,32,10.04,207,101.93,0,0,5,24,7,
Haris Sohail (PAK),2013-2019,14,13,2,210,52,19.09,204,102.94,0,2,1,16,3,
CA Ingram (SA),2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7,
Aarif Sheikh (NEPAL),2018-2021,15,12,2,209,39*,20.90,197,106.09,0,0,0,20,4,
R Rohan (SGP),2019-2020,13,12,0,209,49,17.41,175,119.42,0,0,2,25,6,
Ghulam Shabber (UAE),2016-2019,17,14,3,208,58*,18.90,182,114.28,0,1,0,24,4,
BBJL Perera (ITA),2019-2019,8,7,1,208,67,34.66,144,144.44,0,1,0,23,8,
H Lakov (BUL),2019-2021,11,11,2,207,68*,23.00,174,118.96,0,1,0,21,2,
BMAJ Mendis (SL),2011-2018,22,15,4,207,43*,18.81,174,118.96,0,0,1,18,6,
Afif Hossain (BDESH),2018-2021,18,14,0,206,52,14.71,166,124.09,0,1,2,17,7,
Faisal Khan (Saudi),2019-2020,7,7,1,206,83*,34.33,97,212.37,0,1,1,22,14,
LS Livingstone (ENG),2017-2021,8,7,1,206,103,34.33,123,167.47,1,0,1,11,14,
R Panchal (ESP),2019-2020,11,9,4,206,71*,41.20,197,104.56,0,1,0,9,7,
T Banton (ENG),2019-2020,9,9,0,205,71,22.77,143,143.35,0,1,0,19,9,
DL Vettori (NZ),2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2,
HS Gericke (MLT),2020-2021,8,7,0,203,91,29.00,137,148.17,0,2,0,19,6,
JM Kemp (SA),2005-2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10,
DS Smith (WI),2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5,
R Gunasekera (CAN),2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4,
J Botha (SA),2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9,
JO Holder (WI),2014-2021,25,17,5,201,29*,16.75,171,117.54,0,0,2,12,10,
KS Leverock (BMUDA),2019-2019,12,12,2,201,43*,20.10,165,121.81,0,0,3,16,11,
S Pokhriyal (CZK-R),2019-2020,9,9,1,200,79,25.00,186,107.52,0,1,1,31,3,
VB Chikkannaiah (GER),2019-2020,9,9,1,199,70*,24.87,212,93.86,0,2,1,12,4,
DM Gondaria (KENYA),2013-2019,11,9,2,199,85*,28.42,157,126.75,0,1,0,12,6,
AT Carey (AUS),2018-2021,33,21,4,198,37*,11.64,175,113.14,0,0,1,16,6,
Umar Adam (Mald),2019-2020,14,13,1,198,53,16.50,169,117.15,0,1,1,21,6,
TK Musakanda (ZIM),2018-2021,12,12,0,197,43,16.41,164,120.12,0,0,2,17,4,
Mosaddek Hossain (BDESH),2016-2021,15,14,4,196,34*,19.60,181,108.28,0,0,1,10,6,
Riazat Ali Shah (UGA),2019-2021,7,6,2,196,53*,49.00,139,141.00,0,1,0,10,13,
Sohail Tanvir (PAK),2007-2017,57,25,8,196,41,11.52,164,119.51,0,0,2,16,9,
Fawad Alam (PAK),2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7,
Asad Shafiq (PAK),2010-2012,10,10,0,192,38,19.20,185,103.78,0,0,0,19,2,
PWH de Silva (SL),2019-2021,22,19,6,192,44,14.76,173,110.98,0,0,2,17,0,
Mukhtar Ahmed (PAK),2015-2015,6,6,0,192,83,32.00,134,143.28,0,2,0,23,5,
M Simpson-Parker (Aut),2019-2021,10,8,1,190,65*,27.14,160,118.75,0,2,2,11,6,
Ahmed Hassan (Mald),2019-2019,11,10,0,189,53,18.90,192,98.43,0,1,0,18,2,
SR Patel (ENG),2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5,
IR Bell (ENG),2006-2014,8,8,1,188,60*,26.85,163,115.33,0,1,0,23,2,
Ehsan Khan (HKG),2016-2020,23,15,8,187,42*,26.71,158,118.35,0,0,1,11,10,
CD McMillan (NZ),2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14,
SP Patil (UAE),2014-2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4,
TC Barker (LUX),2019-2021,8,8,0,185,60,23.12,149,124.16,0,1,0,18,1,
BJ Hodge (AUS),2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7,
XM Marshall (USA/WI),2008-2019,13,13,0,183,36,14.07,185,98.91,0,0,2,13,6,
G Manan (ROM),2019-2021,10,9,0,182,40,20.22,114,159.64,0,0,1,21,10,
DJ Willey (ENG),2015-2021,32,21,8,182,29*,14.00,137,132.84,0,0,1,10,11,
MR Adair (IRE),2019-2021,21,18,5,181,38,13.92,154,117.53,0,0,2,10,7,
C Tommy (VAN),2019-2019,12,11,0,180,47,16.36,191,94.24,0,0,2,6,8,
CAJ Meschede (GER),2019-2019,5,5,1,179,67,44.75,115,155.65,0,1,1,9,14,
Rashid Khan (AFG/ICC),2015-2021,51,26,13,179,33,13.76,139,128.77,0,0,5,11,11,
AC Agar (AUS),2016-2021,34,19,4,178,29,11.86,162,109.87,0,0,2,13,5,
Nazimuddin (BDESH),2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10,
Sidhant Singh (SGP),2019-2020,11,9,2,178,77,25.42,135,131.85,0,2,1,15,6,
Sulaiman Ali (BUL),2020-2021,10,10,0,178,40,17.80,141,126.24,0,0,1,16,9,
Ammad Uddin (BHR),2019-2020,8,8,2,176,41*,29.33,94,187.23,0,0,0,18,10,
A Ashokan (CZK-R),2019-2021,10,10,2,176,55*,22.00,156,112.82,0,1,0,9,5,
Kaleem Shah (Moz),2019-2019,7,7,1,176,72*,29.33,170,103.52,0,1,1,21,4,
Mohammad Naveed (UAE),2015-2019,31,24,10,176,27*,12.57,147,119.72,0,0,3,17,8,
LPC Silva (SL),2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3,
NN Odhiambo (KENYA),2007-2013,24,20,2,174,41,9.66,177,98.30,0,0,3,17,4,
JT Smuts (SA),2017-2021,13,13,0,174,45,13.38,165,105.45,0,0,1,18,6,
L Vincent (NZ),2006-2007,9,9,0,174,42,19.33,174,100.00,0,0,1,17,3,
S Periyalwar (ROM),2019-2021,10,7,3,173,105*,43.25,116,149.13,1,0,1,20,7,
Nouman Sarwar (QAT),2019-2019,14,9,6,172,47*,57.33,128,134.37,0,0,1,16,6,
IK Pathan (INDIA),2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7,
HAM Shah (DEN),2019-2019,9,8,0,172,40,21.50,168,102.38,0,0,0,18,2,
GD Elliott (NZ/World),2009-2017,17,15,4,171,27,15.54,157,108.91,0,0,0,12,2,
A Otwani (UGA),2019-2021,10,10,0,171,44,17.10,168,101.78,0,0,1,21,2,
MNR Cooray (Mald),2019-2020,7,6,1,170,56*,34.00,148,114.86,0,1,0,21,3,
M Vijay (INDIA),2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8,
KMA Paul (WI),2018-2020,20,14,6,168,29,21.00,143,117.48,0,0,1,8,11,
Fiaz Ahmed (BHR),2019-2020,8,8,3,166,62*,33.20,127,130.70,0,1,1,8,11,
HJ Jordaan (THAI),2019-2020,8,8,1,166,37*,23.71,210,79.04,0,0,0,10,4,
ME Trescothick (ENG),2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1,
LJ Tucker (IRE),2016-2021,20,17,1,166,22*,10.37,158,105.06,0,0,1,17,1,
Awais Ahmed (ESP),2019-2020,11,6,2,165,102*,41.25,141,117.02,1,0,1,7,7,
Umar Gul (PAK),2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10,
Mohammad Saifuddin (BDESH),2017-2021,20,12,4,164,39*,20.50,150,109.33,0,0,0,13,5,
Tarun Sharma (Mex),2019-2019,8,8,1,164,49*,23.42,160,102.50,0,0,1,12,6,
Waqas Khan (HKG),2014-2020,16,14,4,164,60,16.40,189,86.77,0,1,1,6,5,
TN de Grooth (NL),2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1,
TWM Latham (NZ),2012-2017,13,10,0,163,39,16.30,157,103.82,0,0,0,12,2,
P Mishra (BUL),2019-2021,15,13,1,163,53,13.58,120,135.83,0,1,2,13,12,
H Davids (SA),2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4,
NMS Param (SGP),2019-2019,8,7,2,160,72*,32.00,118,135.59,0,1,0,12,6,
JP Faulkner (AUS),2012-2017,24,18,7,159,41*,14.45,138,115.21,0,0,0,7,5,
Junaid Siddique (BDESH),2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7,
A Mansale (VAN),2019-2019,14,14,0,159,38,11.35,151,105.29,0,0,4,14,5,
D Pretorius (SA),2017-2021,14,8,3,159,77*,31.80,96,165.62,0,1,0,12,8,
RR Watson (SCOT),2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1,
KC D'Souza (BUL),2020-2021,12,10,3,158,28*,22.57,115,137.39,0,0,0,12,9,
JL Ontong (SA),2008-2015,14,10,0,158,48,15.80,109,144.95,0,0,1,6,11,
T Whiteman (LUX),2019-2021,11,9,4,158,37*,31.60,130,121.53,0,0,1,14,3,
Mudassar Bukhari (NL),2008-2016,38,26,8,157,28*,8.72,152,103.28,0,0,1,10,4,
HL Carlyon (JER),2019-2019,9,8,0,156,50,19.50,131,119.08,0,1,1,21,3,
Taranjeet Singh (ROM),2021-2021,4,4,1,156,60,52.00,59,264.40,0,2,1,19,11,
SP Narine (WI),2012-2019,51,23,8,155,30,10.33,138,112.31,0,0,2,13,5,
Aasif Sheikh (NEPAL),2021-2021,5,5,1,154,54*,38.50,111,138.73,0,1,1,12,10,
NA Greenwood (JER),2019-2019,8,8,0,154,43,19.25,128,120.31,0,0,1,15,2,
Hadisullah Tarakhel (Belg),2021-2021,5,5,1,154,78,38.50,84,183.33,0,1,0,16,11,
Wahab Riaz (PAK),2008-2020,36,18,6,154,30*,12.83,123,125.20,0,0,2,10,7,
BA King (WI),2019-2020,11,10,0,153,43,15.30,114,134.21,0,0,1,20,5,
Mirza Ahsan (Aut),2019-2021,8,7,4,153,52*,51.00,67,228.35,0,2,0,9,12,
NG Collins (Fin),2019-2019,5,5,0,151,56,30.20,164,92.07,0,2,0,10,0,
HD Rutherford (NZ),2013-2019,8,7,0,151,62,21.57,105,143.80,0,1,1,12,9,
NM Coulter-Nile (AUS),2013-2019,28,15,4,150,34,13.63,120,125.00,0,0,3,10,10,
H Singh (GER),2019-2020,9,8,3,150,44*,30.00,134,111.94,0,0,0,7,3,
Kushal Malla (NEPAL),2019-2021,10,8,3,149,50*,29.80,90,165.55,0,1,1,11,12,
N Pathan (THAI),2019-2020,8,8,1,149,54*,21.28,128,116.40,0,1,1,10,7,
DJ Mitchell (NZ),2019-2021,15,13,4,148,34*,16.44,108,137.03,0,0,0,13,4,
O Bascome (BMUDA),2019-2019,11,11,0,147,37,13.36,147,100.00,0,0,1,12,8,
TS Kamunhukamwe (ZIM),2020-2021,7,7,0,146,44,20.85,147,99.31,0,0,1,17,1,
CD Wallace (SCOT),2012-2019,19,14,6,146,27,18.25,122,119.67,0,0,1,14,2,
Wahidullah Usmani (Belg),2020-2021,7,7,0,144,72,20.57,149,96.64,0,1,0,14,2,
J Barker (LUX),2019-2021,10,8,1,143,39,20.42,159,89.93,0,0,1,15,1,
M Klinger (AUS),2017-2017,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2,
Amir Mangal (GER),2019-2020,10,10,3,142,40,20.28,91,156.04,0,0,0,11,8,
Hassan Rasheed (Mald),2019-2020,11,10,0,142,34,14.20,174,81.60,0,0,0,8,3,
Sajid Cheema (Saudi),2019-2020,7,7,0,142,47,20.28,137,103.64,0,0,0,12,6,
Umar Amin (PAK),2013-2018,14,9,0,142,47,15.77,123,115.44,0,0,3,15,4,
Faran Afzal (ESP),2019-2019,9,8,1,141,59*,20.14,140,100.71,0,1,0,11,6,
K Mendon (CZK-R),2019-2021,14,10,6,141,45*,35.25,137,102.91,0,0,0,9,3,
Waheed Ahmed (UAE),2019-2020,15,13,6,141,45*,20.14,111,127.02,0,0,0,7,11,
PBB Rajapaksa (SL),2019-2020,7,6,1,140,77,28.00,107,130.84,0,1,0,8,9,
HR Walsh (USA/WI),2019-2021,24,12,4,140,28,17.50,138,101.44,0,0,0,9,4,
AC Voges (AUS),2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2,
SA Yadav (INDIA),2021-2021,4,3,0,139,57,46.33,82,169.51,0,2,0,14,7,
AC Douglas (BMUDA),2019-2019,10,9,1,138,47*,17.25,131,105.34,0,0,0,10,8,
LB Ferbrache (GUE),2019-2020,10,9,1,138,55,17.25,143,96.50,0,1,0,6,3,
IJL Trott (ENG),2007-2010,7,7,1,138,51,23.00,144,95.83,0,1,0,9,3,
KD Mills (NZ),2005-2014,42,19,7,137,33*,11.41,123,111.38,0,0,4,11,5,
HH Patel (MWI),2019-2019,7,6,1,137,44*,27.40,104,131.73,0,0,0,17,3,
R Tari (VAN),2019-2019,14,14,5,137,28,15.22,117,117.09,0,0,2,6,5,
DF Watts (SCOT),2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3,
AR White (IRE),2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2,
Yusuf Ebrahim (PNM),2019-2019,3,3,1,137,72,68.50,97,141.23,0,1,0,14,5,
SL Malinga (SL),2006-2020,84,33,12,136,27,6.47,161,84.47,0,0,8,9,5,
MNM Aslam (KUW),2019-2020,11,7,2,134,32,26.80,133,100.75,0,0,1,12,2,
CT Mutombodzi (ZIM),2013-2020,15,14,3,134,32,12.18,144,93.05,0,0,2,9,2,
CH Morris (SA),2012-2019,23,13,4,133,55*,14.77,102,130.39,0,1,3,12,5,
GEF Barnett (CAN),2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0,
AC Botha (IRE),2008-2010,14,11,1,130,38,13.00,141,92.19,0,0,2,12,1,
DDP D'Silva (UAE),2019-2019,10,8,4,130,29,32.50,146,89.04,0,0,1,9,0,
Khushdil Shah (PAK),2019-2021,9,9,3,130,36*,21.66,119,109.24,0,0,0,13,4,
Naeem Islam (BDESH),2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7,
SC Getkate (IRE),2019-2021,18,16,2,129,24,9.21,117,110.25,0,0,1,5,6,
BOP Fernando (SL),2019-2021,7,6,1,128,78*,25.60,114,112.28,0,1,0,11,4,
Mirwais Ashraf (AFG),2010-2016,25,19,8,128,28*,11.63,115,111.30,0,0,2,5,8,
SSM Stanislaus (MLT),2020-2021,8,7,1,128,35,21.33,136,94.11,0,0,0,6,6,
CK Coventry (ZIM),2010-2015,13,12,2,127,30,12.70,90,141.11,0,0,2,14,6,
PG Fulton (NZ),2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6,
Imran Ali Butt (BHR),2019-2020,8,8,0,127,58,15.87,132,96.21,0,2,4,6,6,
Mohammad Mithun (BDESH),2014-2021,17,13,1,127,47,10.58,136,93.38,0,0,2,10,4,
MA Ouma (KENYA),2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1,
AL Phehlukwayo (SA),2017-2021,35,20,6,127,27*,9.07,112,113.39,0,0,6,13,4,
MJ Prior (ENG),2007-2010,10,8,2,127,32,21.16,100,127.00,0,0,1,11,5,
AJ Staal (NL),2019-2021,14,12,4,127,28*,15.87,97,130.92,0,0,4,7,7,
MWR Stokes (GUE),2019-2019,9,7,0,127,29,18.14,152,83.55,0,0,0,10,0,
Aslam Mohammad (GRC),2019-2021,7,5,0,126,61,25.20,82,153.65,0,2,0,8,11,
G Chaturvedi (MLT),2019-2021,7,6,0,126,32,21.00,105,120.00,0,0,1,17,1,
Najjam Shahzad (PORT),2019-2019,4,3,2,126,53*,126.00,97,129.89,0,1,0,4,10,
AJ Redmond (NZ),2009-2010,7,6,0,126,63,21.00,84,150.00,0,1,0,19,2,
JL Denly (ENG),2009-2020,13,12,2,125,30,12.50,118,105.93,0,0,2,15,1,
Muhammad Naeem (Saudi),2019-2020,7,6,2,125,42,31.25,126,99.20,0,0,1,7,3,
PJ van Biljon (SA),2020-2021,10,8,2,125,42,20.83,101,123.76,0,0,0,10,4,
EB Knowles (CZK-R),2019-2021,14,13,3,124,23,12.40,152,81.57,0,0,1,15,0,
Mohammed Asghar (KUW),2019-2019,4,4,0,124,45,31.00,91,136.26,0,0,0,13,5,
BA Pai (GIBR),2019-2019,4,4,0,124,52,31.00,141,87.94,0,1,0,6,1,
KH Pandya (INDIA),2018-2021,19,10,5,124,26*,24.80,95,130.52,0,0,0,8,6,
RJ Peterson (SA),2006-2014,21,12,4,124,34,15.50,113,109.73,0,0,1,13,2,
R Ashwin (INDIA),2010-2017,46,11,7,123,31*,30.75,115,106.95,0,0,0,14,1,
LM Jongwe (ZIM),2015-2021,14,13,2,123,34,11.18,123,100.00,0,0,2,10,3,
AD Mascarenhas (ENG),2007-2009,14,13,5,123,31,15.37,100,123.00,0,0,3,8,5,
SM Sharif (SCOT),2012-2019,42,18,9,123,26,13.66,100,123.00,0,0,2,8,3,
AW Hawkins-Kay (JER),2019-2019,16,13,5,122,27*,15.25,136,89.70,0,0,1,8,0,
KM Jadhav (INDIA),2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3,
Muhamad Syahadat (MAL),2019-2019,10,9,3,122,41*,20.33,102,119.60,0,0,0,9,6,
CN Onwuzulike (NGA),2019-2019,9,9,1,122,46*,15.25,126,96.82,0,0,2,5,5,
DT Tiripano (ZIM),2016-2021,15,11,3,122,28,15.25,107,114.01,0,0,2,7,6,
Usman Patel (KUW),2020-2020,5,4,1,122,59*,40.66,91,134.06,0,2,1,20,0,
DAJ Bracewell (NZ),2011-2019,18,10,5,121,44,24.20,83,145.78,0,0,2,6,9,
DR Martyn (AUS),2005-2006,4,4,0,120,96,30.00,74,162.16,0,1,0,11,5,
Hasan Ali (PAK),2016-2021,39,16,10,119,23,19.83,62,191.93,0,0,2,6,10,
Imrul Kayes (BDESH),2010-2017,14,13,0,119,36,9.15,134,88.80,0,0,4,14,3,
Naseem Khushi (OMAN),2017-2020,13,9,2,119,29,17.00,82,145.12,0,0,2,6,8,
AA Onikoyi (NGA),2019-2019,9,8,0,119,49,14.87,144,82.63,0,0,1,8,4,
JR Philippe (AUS),2021-2021,8,8,0,119,45,14.87,107,111.21,0,0,1,7,4,
SCJ Broad (ENG),2006-2014,56,26,10,118,18*,7.37,118,100.00,0,0,2,7,3,
Janak Prakash (SGP),2019-2020,15,13,5,118,25*,14.75,92,128.26,0,0,2,9,5,
Shamsudheen Purat (Saudi),2019-2020,6,5,1,118,88*,29.50,77,153.24,0,1,2,12,7,
JE Taylor (WI),2006-2018,30,15,6,118,21,13.11,92,128.26,0,0,1,10,6,
Mehran Khan (OMAN),2015-2019,19,13,2,117,29,10.63,106,110.37,0,0,1,7,5,
SV Samson (INDIA),2015-2021,10,10,0,117,27,11.70,106,110.37,0,0,1,5,5,
Ziaur Rahman (BDESH),2012-2014,14,12,3,117,40*,13.00,91,128.57,0,0,3,3,10,
Abrar Bilal (Aut),2019-2021,7,6,3,116,37,38.66,77,150.64,0,0,0,12,5,
Aritra Dutta (SGP),2019-2019,8,8,0,116,33,14.50,114,101.75,0,0,0,8,5,
B Arora (MLT),2019-2021,9,9,1,116,28,14.50,159,72.95,0,0,1,10,3,
Shahzaib Hasan (PAK),2009-2010,10,10,0,116,35,11.60,130,89.23,0,0,3,13,3,
K Motlhanka (Botsw),2019-2019,7,7,0,115,59,16.42,123,93.49,0,1,0,11,2,
Muhammad Muneeb (Belg),2020-2021,7,7,1,115,70*,19.16,122,94.26,0,1,2,10,2,
MJ Richardson (GER),2019-2020,5,5,3,115,40,57.50,97,118.55,0,0,0,14,1,
Sami Sohail (MWI),2019-2019,7,5,4,115,33*,115.00,97,118.55,0,0,0,10,2,
S Kaveri (Mex),2019-2019,7,6,1,114,43,22.80,146,78.08,0,0,0,9,1,
D Muhumuza (UGA),2019-2020,7,7,1,114,42,19.00,94,121.27,0,0,1,9,4,
WD Parnell (SA),2009-2017,40,13,9,114,29*,28.50,96,118.75,0,0,0,10,3,
DL Maddy (ENG),2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3,
M Abdulla (MWI),2019-2019,5,5,2,112,42*,37.33,100,112.00,0,0,0,11,2,
SP Khakurel (NEPAL),2014-2015,8,8,0,112,56,14.00,139,80.57,0,1,0,10,1,
JS Malhotra (USA),2019-2019,6,6,0,112,38,18.66,104,107.69,0,0,0,12,2,
Mohammad Boota (UAE),2019-2019,16,12,4,112,20*,14.00,100,112.00,0,0,1,7,5,
Mudassar Muhammad (GER),2019-2019,7,7,0,112,30,16.00,135,82.96,0,0,0,5,3,
AP Devcich (NZ),2013-2014,4,4,0,111,59,27.75,79,140.50,0,1,0,17,2,
GF Linde (SA),2020-2021,14,11,1,111,29,11.10,85,130.58,0,0,2,6,6,
S Samarawickrama (SL),2017-2021,9,9,0,111,32,12.33,118,94.06,0,0,1,10,0,
JNK Shannon (IRE),2013-2018,8,8,0,111,60,13.87,84,132.14,0,1,1,12,5,
SP Fleming (NZ),2005-2006,5,5,0,110,38,22.00,85,129.41,0,0,0,20,0,
Khizar Hayat (MAL),2020-2021,11,10,2,110,28,13.75,98,112.24,0,0,1,10,2,
A Lark (Aut),2019-2019,5,4,0,110,43,27.50,121,90.90,0,0,1,15,0,
Anwar Ali (PAK),2008-2016,16,11,4,109,46,15.57,77,141.55,0,0,0,6,6,
MG Johnson (AUS),2007-2013,30,17,7,109,28*,10.90,95,114.73,0,0,2,8,3,
Mamoon Latif (Belg),2019-2021,11,10,0,109,25,10.90,122,89.34,0,0,1,7,3,
T van der Gugten (NL),2012-2019,39,11,4,109,40*,15.57,81,134.56,0,0,1,4,6,
Harbhajan Singh (INDIA),2006-2016,28,13,5,108,21,13.50,87,124.13,0,0,1,11,4,
B Zuiderent (NL),2009-2010,6,6,1,108,43*,21.60,124,87.09,0,0,0,8,1,
OGL Bascome (BMUDA),2019-2019,11,11,1,107,22,10.70,117,91.45,0,0,0,12,3,
Haroon Mughal (MLT),2019-2021,9,7,0,107,33,15.28,84,127.38,0,0,0,6,5,
BR McDermott (AUS),2018-2021,14,12,3,107,32*,11.88,117,91.45,0,0,2,7,2,
A Manousis (GRC),2019-2021,7,7,2,107,27,21.40,89,120.22,0,0,1,13,3,
SO Ngoche (KENYA),2010-2019,28,18,5,107,38,8.23,118,90.67,0,0,2,5,4,
GJ Thompson (IRE),2016-2019,10,8,1,107,44,15.28,108,99.07,0,0,2,14,1,
K Doriga (PNG),2019-2019,17,11,1,106,43*,10.60,103,102.91,0,0,0,3,3,
NA Maiolo (ITA),2019-2019,8,7,1,106,39*,17.66,104,101.92,0,0,0,11,2,
MD Dai (PNG),2015-2017,9,8,0,105,31,13.12,128,82.03,0,0,0,4,0,
S Dube (INDIA),2019-2020,13,9,3,105,54,17.50,77,136.36,0,1,0,7,6,
OJ Hairs (SCOT),2019-2019,8,8,1,105,26,15.00,64,164.06,0,0,2,4,10,
